34196
My Darling Clementine | Linda Darnell | cast_member
Andrew Yao | National Taiwan University | educated_at
Jorge Veytia | Institutional Revolutionary Party | member_of_political_party
The Crusades (film) | Cecil B. DeMille | producer
A Scanner Darkly (film) | Robert Downey Jr. | cast_member
Meudon | France | country
Deep Rising | Djimon Hounsou | cast_member
Rustam Mustafayev | Baku | place_of_birth
Doggumentary | Priority Records | record_label
Theresa: The Body of Christ | Paz Vega | cast_member
Cold Rock a Party | Keep On Keepin' On (MC Lyte song) | follows
Fine Time | Factory Records | record_label
The American Soldier | Dietrich Lohmann | director_of_photography
Herbert Wilcox | World War I | conflict
Saint-Denis, Seine-Saint-Denis | Épinay-sur-Seine | shares_border_with
Stanley Clarke | African Americans | ethnic_group
NYPD Blue | Police procedural | genre
Old Ironsides (film) | Esther Ralston | cast_member
The Last Command (1955 film) | Max Steiner | composer
The Return (2006 film) | Film | instance_of
Live Together, Die Alone | Lost (TV series) | part_of_the_series
Royal National Lifeboat Institution | United Kingdom | operating_area
What's Love Got to Do with It (song) | Tina Turner | performer
Jack May | Hove | place_of_death
Eragon (film) | Budapest | filming_location
Konstantin Glazachev | Ak Bars Kazan | member_of_sports_team
Savana violenta | Mario Morra | director
The Medusa Touch (film) | United Kingdom | country_of_origin
Once Upon a Time in America | Robert De Niro | cast_member
Weird Science (film) | John Hughes (filmmaker) | screenwriter
From Hell to Victory | José Luis Alcaine | director_of_photography
Stephen G. Larson | Lawyer | occupation
The Grand Budapest Hotel | Bill Murray | cast_member
Change Ur World | Going! | follows
Charles Scott Sherrington | King's College London | employer
Konstantin Gorovikov | Severstal Cherepovets | member_of_sports_team
The Thousand Eyes of Dr. Mabuse | France | country_of_origin
Wicked as They Come | Film | instance_of
James Brown | Atlanta | place_of_death
Fay Coyle | Derry | place_of_death
George Bowen (rugby player) | Rugby union | sport
Vortura | Flying Nun Records | record_label
Star Trek (arcade game) | Space flight simulator game | genre
Dick Tracy (1990 film) | Film | instance_of
Rango (2011 film) | Paramount Pictures | production_company
View of Arles, Flowering Orchards | Orchidaceae | depicts
Dino Merlin | Guitar | instrument
The Walk (The X-Files) | The X-Files | part_of_the_series
Week-End at the Waldorf | Ginger Rogers | cast_member
Good News (1979 film) | Italian language | original_language_of_film_or_TV_show
Vocal music | Music | subclass_of
Philip MacDonald | London | place_of_birth
Escape Velocity (song) | The Chemical Brothers | performer
The President Vanishes (film) | Rosalind Russell | cast_member
Frankie and Johnny (1991 film) | Paramount Pictures | distributed_by
Confidence (2003 film) | Robert Forster | cast_member
Cops and Robbers (1951 film) | Aldo Fabrizi | screenwriter
Trouble in the Glen | United Kingdom | country_of_origin
The Possessed (1965 film) | Italian language | original_language_of_film_or_TV_show
G Men | Louis F. Edelman | producer
Ladro lui, ladra lei | Leonida Barboni | director_of_photography
Bob Dylan | University of Tulsa | archives_at
C. Daniel Clemente | Fordham University | educated_at
Nevada (1944 film) | Robert Mitchum | cast_member
The Citadel (film) | Film | instance_of
Things We Lost in the Fire (film) | Film | instance_of
Windows Vista | Microsoft | developer
Three Men in a Boat (1956 film) | United Kingdom | country_of_origin
Assignment: Earth | Marc Daniels | director
Mighty Aphrodite | Peter Weller | cast_member
North Brabant | Gelderland | shares_border_with
Sri Rama Rajyam | Nayanthara | cast_member
Beau Ideal | Max Steiner | composer
David Arnold | United Kingdom | country_of_citizenship
Sun Green | Neil Young | lyricist
Gainesville, Florida | Novorossiysk | twinned_administrative_body
William Boyd (actor) | Laguna Beach, California | place_of_death
The Man with Nine Lives (film) | Columbia Pictures | production_company
Ladies Must Live | Richard Arlen | cast_member
Chokher Bali (film) | Shree Venkatesh Films | production_company
Moscow | Tehran | twinned_administrative_body
Alexander Frolov | HC Dynamo Moscow | member_of_sports_team
Carl-Gunnar Wingård | Sweden | country_of_citizenship
Romish Jalilov | Midfielder | position_played_on_team_/_speciality
Story of a Love Affair | Michelangelo Antonioni | screenwriter
Navy Blue and Gold (film) | John F. Seitz | director_of_photography
Louis Francis Salzman | Pembroke College, Cambridge | educated_at
Cobra (1986 film) | Film | instance_of
Miss Cast Away and the Island Girls | Eric Roberts | cast_member
The Divorcee | Irving Thalberg | producer
Jai Shiv Shankar | Dimple Kapadia | cast_member
Kuruthipunal (film) | Thriller (genre) | genre
Bean (film) | Comedy | genre
Idukki district | Asia | continent
Martin Heidegger | Friedrich Nietzsche | influenced_by
Translational Genomics Research Institute | Nonprofit organization | instance_of
Gemini Ganesan | Rekha | child
Trinidad and Tobago | Trinidad | named_after
Super Trouper (album) | Benny Andersson | producer
Harry P. Jeffrey | Dayton, Ohio | place_of_death
The Murder Clinic | Francesco De Masi | composer
NYPD Blue | American Broadcasting Company | original_broadcaster
Billy Hibbert | United Kingdom | country_of_citizenship
Rutgers Stadium (1938) | Rutgers University | operator
The Toy (1982 film) | Comedy | genre
Shootout at Lokhandwala | Mumbai | narrative_location
Rock Around the Clock (film) | Film | instance_of
Vendetta (Celesty album) | Spinefarm Records | record_label
Cattle Annie and Little Britches | Film | instance_of
SMS Mecklenburg | World War I | conflict
The Cardinal | John Huston | cast_member
Twilight (1998 film) | Liev Schreiber | cast_member
Académie Julian | France | country
Kate Capshaw | Fort Worth, Texas | place_of_birth
The Lions Are Loose | Jean-Claude Brialy | cast_member
The Hangover Part III | Christophe Beck | composer
Two Happy Hearts | Baldassarre Negroni | director
RocknRolla | Tom Wilkinson | cast_member
Castellano & Pipolo | Film director | occupation
Jonathan Harris | Encino, Los Angeles | place_of_death
Housefull 2 | Rishi Kapoor | cast_member
Black Robe (film) | August Schellenberg | cast_member
Sex Quartet | Luigi Magni | screenwriter
Three Came Home | Nunnally Johnson | screenwriter
Ennodu Ishtam Koodamo | Film | instance_of
Celia Rees | United Kingdom | country_of_citizenship
Gareth Price | London Broncos | member_of_sports_team
China Clipper (1936 film) | Film | instance_of
The Eagle (1925 film) | Gustav von Seyffertitz | cast_member
Strangers with Candy (film) | Film | instance_of
The FBI Story | Mervyn LeRoy | producer
George Cave, 1st Viscount Cave | London | place_of_birth
Argo (2012 film) | Washington, D.C. | narrative_location
Nadhi (film) | Film | instance_of
Slander (1956 film) | Film | instance_of
Tambourine (song) | Aftermath Entertainment | record_label
Apoorvaragam | Vidyasagar (composer) | composer
The Traffic Policeman | Rodolfo Sonego | screenwriter
City Lights | Jean Harlow | cast_member
Oxford University Press | United Kingdom | country
Nässjö Municipality | Småland | part_of
Escape to Glory | Pat O'Brien (actor) | cast_member
The Naked City | Film | instance_of
Looney Tunes Golden Collection: Volume 5 | Bob Clampett | director
Micro-Phonies | Columbia Pictures | distributed_by
Maroon 5 | Alternative rock | genre
Mission Kashmir | Jackie Shroff | cast_member
Jaccob Slavin | Carolina Hurricanes | member_of_sports_team
East Germany national under-21 football team | East Germany | country
Alexei Simakov | Avtomobilist Yekaterinburg | member_of_sports_team
Deborah Mash | University of Miami | educated_at
Evil Genius (video game) | Real-time strategy | genre
James Posey | Memphis Grizzlies | member_of_sports_team
Bonk: Brink of Extinction | Hudson Soft | publisher
Docks of San Francisco | Mary Nolan | cast_member
Aces Go Places (film series) | Samuel Hui | cast_member
Cookie's Fortune | Toyomichi Kurita | director_of_photography
Aappilattoq, Kujalleq | UTC−03:00 | located_in_time_zone
Take a Bow (Madonna song) | Bedtime Story (Madonna song) | followed_by
Madrid | Guatemala City | twinned_administrative_body
The Austere Academy | The Ersatz Elevator | followed_by
Matteo Babini | Bologna | place_of_birth
A. Edward Sutherland | London | place_of_birth
Neath | United Kingdom | country
EDtv | John Schwartzman | director_of_photography
Pooja Batra | Model (people) | occupation
Mirchi (film) | Sathyaraj | cast_member
Murder Was the Case | Snoop Dogg | screenwriter
São Paulo | Budapest | twinned_administrative_body
Coventry | Kingston, Jamaica | twinned_administrative_body
The Swarm (film) | Stirling Silliphant | screenwriter
Odd Arne Westad | University of Oslo | employer
Love and a .45 | Peter Fonda | cast_member
Pavel Vorobiev | Russia | country_of_citizenship
Alexander Golovin (ice hockey) | Ak Bars Kazan | member_of_sports_team
José Octavio Bordón | Rosario, Santa Fe | place_of_birth
Guddu | Shah Rukh Khan | cast_member
Qatar | Asia | continent
Trinidad | Trinidad and Tobago | country
Bob Seger | Guitar | instrument
Michael Garnett | Traktor Chelyabinsk | member_of_sports_team
A Dangerous Toy | Nino Manfredi | screenwriter
Symphony of Six Million | Gregory Ratoff | cast_member
Obsession (Tiësto song) | In My Memory (song) | followed_by
Claudia Coffey | News presenter | occupation
Reginald Manningham-Buller, 1st Viscount Dilhorne | United Kingdom | country_of_citizenship
Bharanakoodam | Film | instance_of
The Social Lion | A. Edward Sutherland | director
Civilization Phaze III | Frank Zappa | producer
Gmina Warta Bolesławiecka | Poland | country
Mr. Bevis | Rod Serling | screenwriter
Corporate Cannibal | Grace Jones | performer
Ayo Technology | 50 Cent | performer
Part-Time Lover | Stevie Wonder | performer
Codename: Kids Next Door – Operation: V.I.D.E.O.G.A.M.E. | DVD | distribution_format
Ron Williams (basketball) | Point guard | position_played_on_team_/_speciality
Rowdy Rajamma | Film | instance_of
Renaldas Seibutis | Dallas Mavericks | drafted_by
The Return of Mr. Bean | Richard Curtis | screenwriter
Harold Pinter | Film director | occupation
Devices and Desires | Faber and Faber | publisher
Cutthroat Island | France | country_of_origin
Georgie Stoll | Monterey, California | place_of_death
Meenaxi: A Tale of Three Cities | Tabu (actress) | cast_member
Hattrick (film) | Film | instance_of
FK Borac Čačak | Serbia | country
Ludwig Quidde | Historian | occupation
Kathy Baker | University of California, Berkeley | educated_at
Southland Tales | Justin Timberlake | cast_member
Do Somethin' | Britney Spears | performer
Khatia Tchkonia | Tbilisi | place_of_birth
Rang De Basanti | R. Madhavan | cast_member
The Crystal Ball (film) | Film | instance_of
Futurama: Bender's Game | David Herman | cast_member
Get Smart | NBC | original_broadcaster
Larry C. Brewer | United Methodist Church | religion_or_worldview
William Johnson Sollas | Royal Medal | award_received
Meet the Fockers | Barbra Streisand | cast_member
Children of Chance (1949 film) | Luigi Zampa | director
Help! (film) | Film | instance_of
Tsutomu Hata | Politician | occupation
Cryin' for Me (Wayman's Song) | Toby Keith | performer
Alex Thomson (cinematographer) | London | place_of_birth
The Black Watch | Joseph H. August | director_of_photography
Ernst Kretschmer | Tübingen | place_of_death
The Wild Country | Clint Howard | cast_member
The 3-D Battles of WorldRunner | Third-person shooter | genre
Heart of the City (album) | Atco Records | record_label
Kill Bill: Volume 1 | Michael Parks | cast_member
Adua and Friends | Ruggero Maccari | screenwriter
I Found Stella Parish | Sidney Hickox | director_of_photography
Ulysses (1967 film) | Film | instance_of
1234 (Feist song) | I Feel It All | followed_by
Suspicion (1941 film) | Nigel Bruce | cast_member
India Song | France | country_of_origin
Venky | Film | instance_of
Grindhouse (film) | Robert Rodriguez | director_of_photography
Twentieth Century (film) | Ben Hecht | screenwriter
Margaret de Bohun, Countess of Devon | Kingdom of England | country_of_citizenship
Metal Slug (2006 video game) | SNK Playmore | publisher
Johanna Westerdijk | University of Amsterdam | educated_at
Devil-May-Care | Herbert Stothart | composer
Hangzhou | Zhejiang | located_in_the_administrative_territorial_entity
Hoffa | David Newman (composer) | composer
The Banquet (1991 film) | Eric Tsang | cast_member
Sex Quartet | Italian language | original_language_of_film_or_TV_show
Pigs Have Wings (film) | Dario Di Palma | director_of_photography
Herbert Marshall | United Kingdom | country_of_citizenship
Moon over Parador | Film | instance_of
Lethal Weapon 2 | Thriller (genre) | genre
The Legend of 1900 | Italian language | original_language_of_film_or_TV_show
The Boat That Rocked | Film | instance_of
Come Next Spring | Steve Cochran | cast_member
Santa's Slay | Film | instance_of
Family Plot | Alfred Hitchcock | cast_member
Newton C. Blanchard | Tulane University | educated_at
Give It to You (Eve song) | Tambourine (song) | follows
F. Clifton White | Colgate University | educated_at
Chhalia | Film | instance_of
The Egyptian (film) | John Carradine | cast_member
Scooby-Doo (film) | Film | instance_of
Bikini Beach | Floyd Crosby | director_of_photography
Dzon Delarge | Republic of the Congo | country_of_citizenship
Signs (film) | M. Night Shyamalan | producer
Bloodline (Cary novel) | World War I | main_subject
So Evil My Love | Film | instance_of
Andrei Getman | Novodevichy Cemetery | place_of_burial
A Quality of Mercy | The Twilight Zone (1959 TV series) | part_of_the_series
Mystery of the Wax Museum | Thriller (genre) | genre
