21274
Gilles Mbang Ondo | Libreville | wasBornIn
Mark Ronson | Here Comes the Fuzz | created
Bretton Byrd | Caravan (1946 film) | wroteMusicFor
Dean Beța | CSM Şcolar Reşiţa | playsFor
Gene Fowler | Billy the Kid (1941 film) | created
Subhasish Mukhopadhyay | Bakul Priya | actedIn
Kiefer Sutherland | Promised Land (1987 film) | actedIn
Nigel Patrick | All for Mary | actedIn
Sneha (actress) | Inba (film) | actedIn
Ahmed Aït Ouarab | ES Wasquehal | playsFor
Serhiy Prykhodko | FC Illichivets-2 Mariupol | isAffiliatedTo
Walter Scharf | Sis Hopkins (1941 film) | wroteMusicFor
Jane Hylton | Dance Hall (1950 film) | actedIn
World War II | Arctic | happenedIn
Hugo Henrique Arantes Castro da Silva | Salgueiro Atlético Clube | isAffiliatedTo
Edward B. Jarvis | The Ghost of St. Michael's | edited
Arthur Wimperis | The Drum (1938 film) | created
Vincent Price | Cry of the Banshee | actedIn
Bob Marley | Stephen Marley (musician) | hasChild
Mazraeh-ye Asgariyeh | Emamzadeh District | isLocatedIn
Big Sean | Lay It on Me | created
Jacky Cheung | No More Love, No More Death | actedIn
Sam, Benin | Alibori Department | isLocatedIn
William Berger (actor) | Monster Shark | actedIn
Jennifer Jason Leigh | Miami Blues | actedIn
William Elmer | The Sunset Trail | actedIn
Hassan Daher | Al-Ahed SC | playsFor
Robert E. Kent | Blood on the Arrow | created
Greg Bajek | North Jersey Imperials | playsFor
Piero De Bernardi | Mare matto | created
Célio Gabriel de Almeida Venâncio | Rio Branco Atlético Clube | isAffiliatedTo
Darko Mitrevski | Bal-Can-Can | created
Laxmikant Berde | Khara Kadhi Bolu Naye | actedIn
Lupe Vélez | The Girl from Mexico | actedIn
James Cruze | Betty Compson | isMarriedTo
Ron Goodwin | Unidentified Flying Oddball | wroteMusicFor
Ramsay MacDonald | Maccabi Netanya F.C. | playsFor
Linda Sloan | Belmead, Edmonton | isLeaderOf
Providers | Forever (Medina song) | created
John Huston | The Deserter (1971 film) | actedIn
Nebelat el Hagana | Sudan | isLocatedIn
Arua Uda | Papua New Guinea | isCitizenOf
Ramazan Kurşunlu | Adana Demirspor | playsFor
Carole Lombard | Vigil in the Night | actedIn
Donald Cook (actor) | Unfaithful (1931 film) | actedIn
H. Fowler Mear | Alibi (1931 film) | created
Amy Winehouse | Valerie (The Zutons song) | created
Jack Oakie | Murder at the Vanities | actedIn
Fred Ward | Miami Blues | actedIn
Electronic (band) | Disappointed | created
Jamuna (actress) | Bobbili Yuddham | actedIn
Gunnar Einarsson | VVV-Venlo | playsFor
William Bendix | Young Fury | actedIn
James Dunn (actor) | Living on Love | actedIn
Alex Clay | Ocala Stampede | isAffiliatedTo
Shunji Iwai | Vampire (2011 film) | directed
Tim Sedlacek | Dallas Americans | isAffiliatedTo
Peter Boyle (footballer, born 1951) | Green Gully SC | playsFor
Roddy McDowall | The Adventures of Bullwhip Griffin | actedIn
Aivi Luik | Brisbane Roar FC (W-League) | playsFor
T. Rajendar | Kadhal Azhivathillai | created
Frank McDonald (director) | Call of the Klondike | directed
Bernhard von Bülow | Humboldt University of Berlin | graduatedFrom
Edward Dmytryk | So Well Remembered | directed
Shqipran Skeraj | SpVgg Greuther Fürth | playsFor
John Sturges | Chino (1973 film) | directed
Mudvayne | Forget to Remember | created
Ash Baron-Cohen | This Girl's Life | directed
Sadney Urikhob | Namibia national football team | playsFor
Dmitri Ovchinnikov | FC Zarya Leninsk-Kuznetsky | isAffiliatedTo
Tieng Tiny | Nagaworld FC | isAffiliatedTo
Evelyn Guerrero | Cheech & Chong's Next Movie | actedIn
Cristian Jeandet | Sport Boys | isAffiliatedTo
Shemp Howard | Knutzy Knights | actedIn
William H. Ziegler | Spooky Hooky | edited
Jakub Bargiełowski | 1939–1945 Star | hasWonPrize
Joseph Ruben | Dreamscape (1984 film) | directed
Roxy Music | For Your Pleasure | created
Mikhail Kazachenko | FC Zarya Leninsk-Kuznetsky | isAffiliatedTo
Bertrand Bonello | The Pornographer | wroteMusicFor
Soga Maina | American Samoa national football team | isAffiliatedTo
Dragan Marjanac | Vrbas, Serbia | wasBornIn
Marvin Hatley | Three Smart Boys | wroteMusicFor
Joris Mathijsen | Goirle | wasBornIn
Marv Green | Proud of the House We Built | created
Piero Alva | Sport Boys | playsFor
Daniel Pritzker | Bolden! | directed
Luciano Gaudino | Frosinone Calcio | isAffiliatedTo
Gary Cooper | Fighting Caravans | actedIn
Young Jeezy | Janky Promoters | actedIn
Héctor Elizondo | Private Resort | actedIn
Chris Cross | Passing Strangers | created
Alice Krige | Ghost Story (film) | actedIn
Felipe De la Riva | Manager (association football) | isAffiliatedTo
Héctor Cruz (footballer) | Sport Boys | playsFor
Warren Low | Willard (1971 film) | edited
Giovanni Ribisi | Results (film) | actedIn
Jean Gabin | The Tunnel (1933 French-language film) | actedIn
Florida Panthers | Florida | isLocatedIn
Peter Guthrie | Whitley Bay F.C. | isAffiliatedTo
Mathias Ranégie | Levallois SC | isAffiliatedTo
Shankar (actor) | Poochakkoru Mookkuthi | actedIn
Marc Eberle | VVV-Venlo | playsFor
Judd Nelson | Netherbeast Incorporated | actedIn
Mihail Paseciniuc | FC Dinamo-Auto Tiraspol | isAffiliatedTo
Saeed Jaffrey | The Man Who Would Be King (film) | actedIn
José Manuel Chevela de Souza | C.D. Montijo | isAffiliatedTo
Yacouba Diarra | AS Real Bamako | isAffiliatedTo
Billy Mann | Bad Influence (song) | created
Guy Abend | Hapoel Rishon LeZion F.C. | playsFor
Bindu Madhavi | Om Shanti (film) | actedIn
Raja Babu (actor) | Vichitra Kutumbam | actedIn
Bill Hader | Hot Rod (film) | actedIn
Charles L. Grant | The Dark Cry of the Moon | created
William Arboleda | Real Cartagena | isAffiliatedTo
Gaston Diamé | AS Yzeure | isAffiliatedTo
Manuel Fleitas Solich | Talleres de Remedios de Escalada | isAffiliatedTo
Roda Antar | Hamburger SV II | isAffiliatedTo
Justin Timberlake | Falling Down (Duran Duran song) | created
Leslie Arliss | Good Morning, Boys | created
Joe Ironside | Alfreton Town F.C. | isAffiliatedTo
Henry Wilcoxon | Princess Charming (film) | actedIn
Frederick Kohner | Nancy Goes to Rio | created
Daniell Zeleny | Mohun Bagan A.C. | playsFor
Sally Eilers | The Black Camel (film) | actedIn
Ronnie Dunn | I'll Never Forgive My Heart | created
Vyacheslav Hleb | FC Dinamo-Juni Minsk | isAffiliatedTo
Gene Gauntier | The Lady Peggy's Escape | created
M. Emmet Walsh | Racing Stripes | actedIn
Anne Bancroft | How to Make an American Quilt | actedIn
Philip Green (composer) | The Square Peg | wroteMusicFor
David Gascón | Jerez CF | isAffiliatedTo
Barbara Britton | They Made Me a Killer | actedIn
Walter Lang | The Red Kimono | directed
Brenda Marshall | Strange Impersonation | actedIn
Louis Armstrong | The Five Pennies | actedIn
Ben Mendelsohn | Starred Up | actedIn
Leith Stevens | Chuka (film) | wroteMusicFor
Nigel Patrick | Encore (1951 film) | actedIn
Soha Ali Khan | Khoya Khoya Chand | actedIn
Nicolas Ardouin | La Roche VF | isAffiliatedTo
Vinay Pathak | Gour Hari Dastaan | actedIn
Basil Dickey | The Red Rider | created
Delhi Ganesh | Chidambara Rahasiyam (film) | actedIn
Hans-Jürgen Bäsler | Arminia Bielefeld | playsFor
Callahan County, Texas | Clyde, Texas | isLocatedIn
Charlize Theron | Monster (2003 film) | actedIn
Fred Allen (editor) | Dakota (film) | edited
José Luis Chacón | Estudiantes de Medicina | playsFor
Lewis Gilbert | Shirley Valentine (film) | directed
Walter Reisch | Song of Scheherazade | created
Carroll O'Connor | The Last Hurrah (1977 film) | actedIn
Vincent Price | Theatre of Blood | actedIn
Dorival Thomas | G.D. Estoril Praia | isAffiliatedTo
John Barrymore | Topaze (1933 American film) | actedIn
Flo Rida | Elevator (Flo Rida song) | created
Ralph Block | Patrick the Great | created
Julie Bishop (actress) | The Bohemian Girl (1936 film) | actedIn
Nagma | Gangmaster (film) | actedIn
R. P. Patnaik | Virodhi (2011 film) | wroteMusicFor
Chencho Nio | Bhutan national football team | isAffiliatedTo
Ranvir Shorey | Honeymoon Travels Pvt. Ltd. | actedIn
Kay Walsh | Reach for Glory | actedIn
Rubén Castro | UD Las Palmas | isAffiliatedTo
K. A. Thangavelu | Raani Samyuktha | actedIn
Evaldo Silva dos Santos | Santos FC | playsFor
Jerry Santos | Gor Mahia F.C. | playsFor
Merryl Tisch | James S. Tisch | isMarriedTo
Ennio de Concini | The Black Sheep (1968 film) | created
Klaus Kinski | Paganini (1989 film) | directed
Jamie Foxx | Annie (2014 film) | actedIn
Rosalind Russell | She Wouldn't Say Yes | actedIn
Monica (singer) | Ain't Nobody (Monica song) | created
Peter Boyle (footballer, born 1951) | Preston Lions FC | playsFor
Agenor Figueiredo Santos | Brasília Futebol Clube | isAffiliatedTo
Viveca Lindfors | Zandalee | actedIn
Bruce Abdoulaye | US Sénart-Moissy | isAffiliatedTo
Charles Previn | My Man Godfrey | wroteMusicFor
Warren Beatty | Bulworth | directed
Gary Cooper | North West Mounted Police (film) | actedIn
Chuck Russell | Bless the Child | directed
Patricio Guillén | CD Binéfar | isAffiliatedTo
Joan Chen | Heaven & Earth (1993 film) | actedIn
Peer Åström | Loser like Me | created
Fernando Rey | The Adventurers (1970 film) | actedIn
Korn | Got the Life | created
Dumitru Dolgov | FC Sfântul Gheorghe Suruceni | isAffiliatedTo
Friedhelm Schütte | SpVgg Bayreuth | playsFor
Rituparna Sengupta | Sudhu Ekbar Bolo | actedIn
Myrtle Stedman | The Goose Hangs High | actedIn
James Caan | Kiss Me Goodbye (film) | actedIn
Stuart Baird | Tommy (1975 film) | edited
Sid James | Bless This House (film) | actedIn
Gail Strickland | Bound for Glory (film) | actedIn
Ruth Terry | Goodnight, Sweetheart (film) | actedIn
Rod Taylor | The Time Machine (1960 film) | actedIn
Lake Bell | The Secret Life of Pets | actedIn
Ernest Torrence | Ruggles of Red Gap (1923 film) | actedIn
Sara Däbritz | Germany women's national youth football team | isAffiliatedTo
Kenny Bee | Fist of Fury 1991 | actedIn
Rodrigue Moundounga | AS Mangasport | playsFor
Christopher McDonald | Midnight Run for Your Life | actedIn
Josh Hartnett | Resurrecting the Champ | actedIn
Jaidev Kumar | Pata Nahi Rabb Kehdeyan Rangan Ch Raazi | wroteMusicFor
Nova & Jory | Carolina, Puerto Rico | wasBornIn
Arthur Franz | Henderson, Nevada | diedIn
Johnny Mandel | Drums of Africa | wroteMusicFor
Ivan Tsvetkov | Khazar Lankaran FK | isAffiliatedTo
Robert Newton | Long John Silver (film) | actedIn
János Zichy | Soponya | wasBornIn
Bernie Casey | The Man Who Fell to Earth | actedIn
Potter County, South Dakota | Gettysburg, South Dakota | isLocatedIn
Ray Schnettgoecke | Philadelphia Fury (1978–80) | playsFor
Jean-Claude Carrière | The General of the Dead Army (film) | created
Stephen Gyllenhaal | Trinity College (Connecticut) | graduatedFrom
Simone Signoret | Yves Montand | isMarriedTo
Evelyn Keyes | Top of the World (1955 film) | actedIn
Charles Craft | Outlaws of Santa Fe | edited
Lalu Alex | Mullavalliyum Thenmavum | actedIn
David Fas | Novelda CF | playsFor
Ernest Kinoy | Crawlspace (1972 film) | created
Frank Fenner | Albert Einstein World Award of Science | hasWonPrize
Stevie Gill | Toronto Blizzard (1986–93) | isAffiliatedTo
David Guetta | Bang My Head | created
Jason Momoa | Honolulu | wasBornIn
Paulo Roberto Junges | Esporte Clube Internacional | isAffiliatedTo
Carl Falk | Kiss You (One Direction song) | created
Gideão | Rio Branco Atlético Clube | isAffiliatedTo
Graham Tatters | Elgin City F.C. | playsFor
Martin Nash (soccer) | Vancouver Whitecaps (1986–2010) | isAffiliatedTo
Rachael Leigh Cook | Get Carter (2000 film) | actedIn
Gaston Salasiwa | Zaandam | wasBornIn
Prakash Raj | Singham | actedIn
Hoseynabad-e Rismani | Central District (Yazd County) | isLocatedIn
Lyfe Jennings | Busy (Lyfe Jennings song) | created
Phil Karlson | Lorna Doone (1951 film) | directed
Milton Rosmer | After the Ball (1932 film) | directed
Dick Powell | Pitfall (1948 film) | actedIn
Tihomir Bulat | NK Međimurje | playsFor
Soha Ali Khan | 31st October (film) | actedIn
Ezequiel Óscar Scarione | Argentina | isCitizenOf
Ramesh Bhat | Madana (film) | actedIn
Chernor Mansaray | Al-Ta'ee | playsFor
Maksim Samoylov | FC Zenit-Izhevsk | playsFor
Pat O'Brien (actor) | I Married a Doctor | actedIn
Mikhail Ruslyakov | Vladivostok | wasBornIn
Morobe Province | Papua New Guinea | isLocatedIn
Hugh Adamson | South Liverpool F.C. | playsFor
Sam Shepard | Fair Game (2010 film) | actedIn
Morgan Freeman | Levity (film) | actedIn
Lupe Vélez | The Storm (1930 film) | actedIn
Victor Saville | South Riding (film) | directed
Joey Kirk | Detroit Safari | isAffiliatedTo
Ferdinand Gassina | AS Mangasport | isAffiliatedTo
Chris Dickens | Suite Française (film) | edited
Paul Mauriat | The Gorillas (film) | wroteMusicFor
Marilyn Monroe | There's No Business Like Show Business (film) | actedIn
László Raffinsky | FC Ripensia Timișoara | isAffiliatedTo
Jayabharathi | Eden Thottam | actedIn
Van Halen | Panama (song) | created
Mabel Normand | Mabel's Busy Day | created
Andriy Anishchenko | FC Olympik Kharkiv | playsFor
Divya Dutta | Darwaaza Bandh Rakho | actedIn
Oscar Ewolo | Stade Lavallois | playsFor
Allan Burns | The Mary Tyler Moore Show | created
Simon Rumley | Little Deaths (film) | directed
Gary Cooper | The General Died at Dawn | actedIn
Michael La Rosa | K. Patro Eisden Maasmechelen | isAffiliatedTo
Robin Wright | State of Grace (film) | actedIn
Samantha Morton | River Queen | actedIn
Raja Rafe | Zakho FC | playsFor
Samvrutha Sunil | Evadaithe Nakenti | actedIn
Big Boi | Who Dat (J. Cole song) | created
David Niven | The Best of Enemies | actedIn
Philip Green (composer) | Up in the World | wroteMusicFor
Dean Peer | Moor Green F.C. | isAffiliatedTo
Burt Reynolds | Nickelodeon (film) | actedIn
Deylaman Rural District | Siahkal County | isLocatedIn
Dean Keenan | Troon F.C. | playsFor
Brooks & Dunn | Ain't Nothing 'bout You | created
Harold F. Kress | Silk Stockings (film) | edited
Kiefer Sutherland | Mirrors (film) | actedIn
Steve Robson | Long, Long Way to Go | created
Chris Carmack | The Last Ride (2004 film) | actedIn
Wachira Sangsri | Bangkok Christian College F.C. | isAffiliatedTo
Industrial Estate, Larestan | Central District (Larestan County) | isLocatedIn
David Loggie | AZ Alkmaar | isAffiliatedTo
Kaduna | Kaduna State | isLocatedIn
Ghani Animofoshe | JS du Ténéré | isAffiliatedTo
Kim Sang-bum (film editor) | The Classic | edited
Paul Reubens | Nice Dreams | actedIn
Lee Powell (actor) | The Fighting Devil Dogs | actedIn
Arnfried Heyne | Heidi (1965 film) | edited
Herbert L. Strock | Donovan's Brain (film) | edited
Tara (Kannada actress) | Paris Pranaya | actedIn
Rabi Kinagi | Premer Kahini | directed
Constance Moore | Mexicana (film) | actedIn
Manjula (Kannada actress) | Mooruvare Vajragalu | actedIn
Juninho Tardelli | Clube Esportivo Lajeadense | isAffiliatedTo
Yazid Yasin | Singapore national football team | isAffiliatedTo
Abrud, Gilan | Sardar-e Jangal District | isLocatedIn
Randy Newman | Monsters, Inc. | wroteMusicFor
Brantley Gilbert | Kick It in the Sticks | created
Otar Iosseliani | La Chasse aux papillons | created
Nawnghkio Township | Shan State | isLocatedIn
Johnny Depp | Private Resort | actedIn
Marides Fernando | Lakas–CMD | isAffiliatedTo
Cristian Jeandet | Estudiantes de Buenos Aires | isAffiliatedTo
Kenai Peninsula Borough, Alaska | Alaska | isLocatedIn
Sergio Corbucci | I figli del leopardo | directed
Om Prakash | Awara Baap | actedIn
Abdulrahman Fawzi | Al-Masry SC | playsFor
Sigourney Weaver | Prayers for Bobby | actedIn
Sy Bartlett | Patricia Owens | isMarriedTo
Rohini (actress) | Anthaka Mundu Aa Tarvatha | actedIn
Sean Garrett | Wall to Wall (song) | created
Sagar Mitchell | Living Wigan | directed
Keenan Wynn | The Cockeyed Miracle | actedIn
Yancarlo Casas | Estudiantes de Medicina | isAffiliatedTo
Vladimir Bluzhin | FC Iskra Smolensk | isAffiliatedTo
Carichí Municipality | Carichí | isLocatedIn
James Lindley | Glapwell F.C. | playsFor
Michael Barringer | The Great Barrier (film) | created
Beatriz Zaneratto João | Santos FC (women) | playsFor
Carlo Verdone | L'abbiamo fatta grossa | directed
Sonic Team | Sonic 3D Blast | created
Robert Parrish | Southampton, New York | diedIn
Owkhsar | Central District (Naqadeh County) | isLocatedIn
Tornike Aptsiauri | FC Merani Tbilisi | isAffiliatedTo
Sean Penn | Casualties of War | actedIn
Mugur Bolohan | FCM Câmpina | playsFor
Alison Brie | The Five-Year Engagement | actedIn
Zsolt Nagy (footballer, born 1993) | FC Felcsút | isAffiliatedTo
Amy Ryan | The Infiltrator (2016 film) | actedIn
Josef Melichar | Carolina Hurricanes | isAffiliatedTo
Tommy Chong | Far Out Man | created
Leo Carrillo | Moonlight Murder | actedIn
Benjamin Frankel | Bon Voyage (1944 film) | wroteMusicFor
André Dussollier | Annecy | wasBornIn
Frank Talia | Sunshine George Cross FC | isAffiliatedTo
Raj Kapoor | Char Dil Char Rahen | actedIn
Nicholas Brodszky | The Virtuous Sinner | wroteMusicFor
Romain Chevrier | Evian Thonon Gaillard F.C. | playsFor
Prithviraj Sukumaran | Celluloid (film) | actedIn
Enzo G. Castellari | Keoma (film) | directed
Albert Hammond | I Don't Wanna Lose You | created
Farah Khan | Om Shanti Om | directed
Peter Svensson | Hanging Around (The Cardigans song) | created
Jim Broadbent | The Damned United | actedIn
Wilfrid-Étienne Brunet | Quebec City | diedIn
Oliver Reed | The Hunting Party (1971 film) | actedIn
Howard Greenfield | Where the Boys Are | wroteMusicFor
Conrad A. Nervig | Beg, Borrow or Steal | edited
Brandon Flowers | For Reasons Unknown | created
Jacqueline Bisset | Wild Orchid (film) | actedIn
Yarden Cohen | Ironi Tiberias F.C. | playsFor
Al Pacino | The Devil's Advocate (1997 film) | actedIn
Adrian Trinidad | Club Social y Deportivo Flandria | isAffiliatedTo
Steno (director) | L'uccello migratore | directed
Greg Ranjitsingh | Louisville City FC | playsFor
Dasari Narayana Rao | Bobbili Puli | created
Duncan Renaldo | The Lone Ranger Rides Again | actedIn
E-40 | No Role Modelz | created
Ben Hecht | Topaze (1933 American film) | created
